VMName,BusinessUnit,SubUnit,CostCentre,Project,vCPU,vRAM,vDisk,vCPUHours,GBMemHours,GBStorHours,DR,StorageTier,ChargevCPU,ChargevRAM,ChargevDisk,Moref,ResourceSubtotal,Backup,BackupCost,Total,BillingPeriod
SYDNWDBAP68 (53582602-9e10-47e9-85d5-397703e963c3),S&L,PRD,62920000.0,PACE,8.0,32.0,571.0,5568.0,22272.0,369576,570.65,,170.4,745.6,148.65,vm-4835,1064.65,yes,47.55,1698.85,Feb-2024
shadow-Windows Server 2012 R2 SP1 Std pat (b0f73596-b7ae-4fd5-b44d-9749ff567b6a),GCRP,,,,,,,0.0,0.0,55680,,,0.0,0.0,8.0,,8.0,no,0.0,8.0,Feb-2024
TemplateWindows2012R2Standard,GCRP,,,,,,,0.0,0.0,6960,,,0.0,0.0,1.0,,1.0,no,0.0,1.0,Feb-2024
SYDNWINFP122,S&L,PRD,623000.0,<blank>,2.0,4.0,100.0,1392.0,2784.0,45240,107.56,,42.6,93.2,6.5,vm-4864,142.3,no,0.0,249.86,Feb-2024
grcl_sydnwsapd200,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,488.85,504.85,Feb-2024
SYDNWPRDSQLP01,GCRP,,,,,,,36864.0,177920.0,1265328,,,1244.703448,5956.229885,555.9,,7756.833333,yes,52.5,7825.333333,Feb-2024
SYDNWSESSQLD-DR (e7a0b901-02c1-4180-8c66-4fdbb16f745d),GCRP,,,,,,,1392.0,5568.0,4176,,,42.6,186.4,0.9,,229.9,no,0.0,229.9,Feb-2024
sydnwinfp154,GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,7.65,23.65,Feb-2024
SYDNWPRDSQLP-DR (1548b88f-0fd2-460d-8f1c-3063607a3c90),GCRP,,,,,,,2784.0,11136.0,1003632,,,85.2,372.8,492.5,,950.5,yes,7.65,974.15,Feb-2024
SYDNWWEBP34,GRPINFR,PRD,609100.0,,2.0,8.0,80.0,1392.0,5568.0,45240,,,42.6,186.4,6.5,vm-33416,235.5,no,0.0,235.5,Feb-2024
sydnwinfp201 (ca6b698a-2d82-477e-b571-e81abe5b7b45),GCRP,,,,,,,0.0,0.0,0,,,0.0,0.0,0.0,,0.0,yes,9.3,25.3,Feb-2024
SYDNWSAPP201 (15357920-f724-47df-a215-a8ba2142df36),Oils,PRD,241900.0,,2.0,16.0,790.0,1392.0,11136.0,252648,471.98,,42.6,372.8,127.05,vm-399,542.45,yes,24.9,1055.33,Feb-2024
SYDNWSQLP05 (eedd9bde-d7a3-4d6e-a602-afc869bdb59e),Oils,PRD,241900.0,Oils SQL Server,8.0,81.0,2807.0,5568.0,56376.0,1952280,1051.34,,170.4,1887.3,1051.75,vm-3733,3109.45,yes,64.95,4241.74,Feb-2024
GRCL_SYDNWSTSQRMD01,GCRP,STG,623000.0,Crop Connect DR,2.0,4.0,80.0,814.0,1628.0,42456,,,24.911207,54.500575,6.1,vm-33455,85.511782,no,0.0,85.511782,Feb-2024
SYDNWINFP132,GRPINFR,PRD,609100.0,,2.0,4.0,60.0,1392.0,2784.0,29928,103.56,,42.6,93.2,4.3,vm-4862,140.1,no,0.0,243.66,Feb-2024
